PERSON_ID,NAME,HELLO,DURATION,INTERACTION,COUNTERPART_ID,COUNTER_PART_NAME,TIME,MESSAGE,SENTIMENT_RESULT,P(POSITIVE),P(NEUTRAL),P(NEGATIVE)
PERSON_0000000004,Justin Barr,hello world,51.79019943,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 2:57,Blood war fast safe certain respond century cut family hard quite range.,negative,0.04,0.02,0.94
PERSON_0000000000,Matthew Chapman,hello world,47.68596586,INTERACTION_0000000001,PERSON_0000000002,Nicholas Ochoa,02/01/22 3:00,Practice including really forget compare answer lawyer learn.,negative,0.02,0.03,0.96
PERSON_0000000001,Jennifer Martin,hello world,135.7323603,INTERACTION_0000000000,PERSON_0000000000,Matthew Chapman,02/01/22 3:47,Wait education water race your information result hand.,neutral,0.03,0.92,0.05
PERSON_0000000002,Nicholas Ochoa,hello world,92.23300012,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 3:05,Tough start sometimes another each agreement main agent art mean.,negative,0.01,0.01,0.98
PERSON_0000000003,Bryce Finley,hello world,13.06078574,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 3:27,Drive arm consumer east build public fall defense note message.,neutral,0.02,0.79,0.19
PERSON_0000000004,Justin Barr,hello world,16.86855086,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 3:13,Article again far every college guess sometimes reality trial wait on.,negative,0.08,0.15,0.77
PERSON_0000000000,Matthew Chapman,hello world,125.5439769,INTERACTION_0000000003,PERSON_0000000001,Jennifer Martin,02/01/22 4:13,Affect the report girl daughter across what political.,positive,0.61,0.08,0.31
PERSON_0000000001,Jennifer Martin,hello world,62.03929663,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 4:22,Quality get left successful idea relationship measure once.,positive,0.99,0.01,0
PERSON_0000000002,Nicholas Ochoa,hello world,77.59878708,INTERACTION_0000000001,PERSON_0000000001,Jennifer Martin,02/01/22 4:30,Realize street system article beat send front.,neutral,0.02,0.95,0.02
PERSON_0000000003,Bryce Finley,hello world,21.37204481,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 4:05,Fast question surface water light bar election add western administration election would happy.,positive,0.93,0.06,0.01
PERSON_0000000004,Justin Barr,hello world,30.35610513,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 4:31,Risk man federal spend reflect away color institution suddenly site fish perform.,negative,0.01,0.26,0.73
PERSON_0000000000,Matthew Chapman,hello world,17.52086138,INTERACTION_0000000001,PERSON_0000000002,Nicholas Ochoa,02/01/22 5:24,Wish whole talk old administration man strong account forward.,positive,0.95,0.03,0.02
PERSON_0000000001,Jennifer Martin,hello world,92.99583566,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,02/01/22 5:52,Manage off among claim likely tax him nature.,negative,0.02,0.23,0.75
PERSON_0000000002,Nicholas Ochoa,hello world,40.9833519,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 5:26,Option difficult so manage certainly operation hard.,negative,0.01,0.01,0.98
PERSON_0000000003,Bryce Finley,hello world,14.1333693,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,02/01/22 5:36,Together position president same organization next if.,neutral,0.01,0.97,0.02
PERSON_0000000004,Justin Barr,hello world,1.978844475,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 5:55,Such day wide quality accept cost board scene.,positive,0.91,0.04,0.05
PERSON_0000000000,Matthew Chapman,hello world,7.088987498,INTERACTION_0000000001,PERSON_0000000002,Nicholas Ochoa,02/01/22 6:03,Section rather exist feeling do clear president exist here couple certainly population.,neutral,0.07,0.68,0.25
PERSON_0000000001,Jennifer Martin,hello world,36.07584558,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 6:24,Career phone on seem deal apply anything my quality.,neutral,0.47,0.5,0.03
PERSON_0000000002,Nicholas Ochoa,hello world,20.07338843,INTERACTION_0000000000,PERSON_0000000001,Jennifer Martin,02/01/22 6:47,Data mean call similar among give.,neutral,0.02,0.94,0.04
PERSON_0000000003,Bryce Finley,hello world,72.62816923,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 6:25,Without four reduce step whether western my rock task stock begin.,neutral,0.03,0.75,0.22
PERSON_0000000004,Justin Barr,hello world,20.44124738,INTERACTION_0000000002,PERSON_0000000003,Bryce Finley,02/01/22 6:46,Sure most which school answer series agent public site.,neutral,0.01,0.97,0.01
PERSON_0000000000,Matthew Chapman,hello world,51.99180191,INTERACTION_0000000001,PERSON_0000000002,Nicholas Ochoa,02/01/22 7:23,Forget when start sort particular describe.,negative,0.03,0.21,0.76
PERSON_0000000001,Jennifer Martin,hello world,9.027692053,INTERACTION_0000000000,PERSON_0000000003,Bryce Finley,02/01/22 7:46,Attack too long true just but soldier collection.,negative,0.01,0.02,0.97
PERSON_0000000002,Nicholas Ochoa,hello world,40.22202814,INTERACTION_0000000003,PERSON_0000000001,Jennifer Martin,02/01/22 7:19,Military wonder player especially material buy pass front write important purpose.,positive,0.97,0.01,0.01
PERSON_0000000003,Bryce Finley,hello world,3.320280988,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,02/01/22 7:26,Professional blood buy at better past.,positive,0.98,0.01,0.01
PERSON_0000000004,Justin Barr,hello world,63.93458892,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,02/01/22 7:30,Government either another left together ready them.,neutral,0.01,0.95,0.04
PERSON_0000000000,Matthew Chapman,hello world,38.6751159,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,02/01/22 8:49,Door sometimes third summer find collection certain other.,neutral,0.02,0.96,0.02
PERSON_0000000001,Jennifer Martin,hello world,41.69620744,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 8:56,Into authority whose join word measure someone join.,neutral,0.05,0.89,0.06
PERSON_0000000002,Nicholas Ochoa,hello world,14.44805706,INTERACTION_0000000001,PERSON_0000000001,Jennifer Martin,02/01/22 8:33,Agree political shake beat too read investment car choose bank perhaps.,neutral,0.16,0.68,0.15
PERSON_0000000003,Bryce Finley,hello world,19.33553842,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,02/01/22 8:21,Realize door all traditional rather land this carry poor model could.,negative,0,0,0.99
PERSON_0000000004,Justin Barr,hello world,51.85971257,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 8:22,Government wait school institution marriage use know.,neutral,0.03,0.91,0.06
PERSON_0000000000,Matthew Chapman,hello world,71.29640166,INTERACTION_0000000001,PERSON_0000000001,Jennifer Martin,02/01/22 9:44,Language specific determine like upon newspaper walk practice during tree off like believe.,neutral,0.04,0.91,0.05
PERSON_0000000001,Jennifer Martin,hello world,36.87172706,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 9:59,Business imagine home when seven coach carry accept let story green whose myself.,neutral,0.13,0.82,0.05
PERSON_0000000002,Nicholas Ochoa,hello world,28.56342335,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 9:28,Feeling matter traditional man way way shoulder better of fall become open standard.,positive,0.98,0.02,0.01
PERSON_0000000003,Bryce Finley,hello world,4.676278853,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 9:53,Force daughter measure factor as fire tonight air during.,negative,0.02,0.44,0.54
PERSON_0000000004,Justin Barr,hello world,27.55345546,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 9:41,Space tax view history goal travel.,neutral,0.01,0.97,0.02
PERSON_0000000000,Matthew Chapman,hello world,28.78119713,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 10:36,Allow stand town dog step billion.,neutral,0.01,0.94,0.05
PERSON_0000000001,Jennifer Martin,hello world,71.15116662,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 10:58,Receive south think between difficult kind skin simple.,negative,0.04,0.01,0.95
PERSON_0000000002,Nicholas Ochoa,hello world,201.8066093,INTERACTION_0000000003,PERSON_0000000003,Bryce Finley,02/01/22 10:11,Direction teach forget investment after poor we.,negative,0,0,0.99
PERSON_0000000003,Bryce Finley,hello world,4.653372131,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 10:25,Growth kind understand few election stock born.,neutral,0.18,0.46,0.36
PERSON_0000000004,Justin Barr,hello world,175.5305576,INTERACTION_0000000002,PERSON_0000000003,Bryce Finley,02/01/22 10:40,Then actually benefit serve one during catch blue for feeling.,neutral,0.38,0.58,0.03
PERSON_0000000000,Matthew Chapman,hello world,8.297847745,INTERACTION_0000000003,PERSON_0000000001,Jennifer Martin,02/01/22 11:40,Question heart art parent behavior how.,negative,0.03,0.37,0.6
PERSON_0000000001,Jennifer Martin,hello world,38.20783057,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 11:10,Tell in go today read environmental agent contain would human send.,neutral,0.03,0.7,0.26
PERSON_0000000002,Nicholas Ochoa,hello world,20.60089622,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 11:54,Shake reveal accept usually smile under whose bag program.,neutral,0.02,0.95,0.03
PERSON_0000000003,Bryce Finley,hello world,72.56157835,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,02/01/22 11:31,Approach couple table change effect about want hold exactly act entire them site.,neutral,0.13,0.83,0.04
PERSON_0000000004,Justin Barr,hello world,46.05145457,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 11:09,Job degree effort cell environmental hard indicate brother deep.,negative,0.05,0.46,0.49
PERSON_0000000000,Matthew Chapman,hello world,74.65440228,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 12:38,Realize trial build happy artist six practice senior that.,positive,0.98,0.01,0
PERSON_0000000001,Jennifer Martin,hello world,58.31477997,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,02/01/22 12:20,Rate toward issue partner huge power possible eye democratic as.,positive,0.94,0.03,0.03
PERSON_0000000002,Nicholas Ochoa,hello world,16.13272377,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 12:42,Pass only born imagine shoulder design face conference walk rate.,neutral,0.02,0.96,0.02
PERSON_0000000003,Bryce Finley,hello world,137.5089927,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,02/01/22 12:16,Southern red attack maybe local pay practice defense quite federal appear until.,neutral,0.02,0.53,0.45
PERSON_0000000004,Justin Barr,hello world,11.09395336,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 12:15,Executive chance two defense loss us case road participant minute decision.,negative,0,0.02,0.98
PERSON_0000000000,Matthew Chapman,hello world,35.05351725,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 13:02,Research music rest add lot career once.,neutral,0.22,0.73,0.05
PERSON_0000000001,Jennifer Martin,hello world,46.17916415,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 13:03,Data thing democratic imagine check resource many.,neutral,0.2,0.67,0.14
PERSON_0000000002,Nicholas Ochoa,hello world,25.63565588,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 13:00,Reality social light company very good quality now firm history factor book center.,positive,0.98,0.02,0
PERSON_0000000003,Bryce Finley,hello world,26.79797892,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 13:48,Vote citizen military economic wonder loss born education thank authority trip.,negative,0.05,0.08,0.87
PERSON_0000000004,Justin Barr,hello world,94.08192893,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 13:19,Rise believe through human participant claim.,neutral,0.02,0.91,0.07
PERSON_0000000000,Matthew Chapman,hello world,193.0128999,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,02/01/22 14:04,Guess trouble professional beautiful current hot although behind newspaper save according ground.,positive,0.53,0.03,0.44
PERSON_0000000001,Jennifer Martin,hello world,44.24543682,INTERACTION_0000000000,PERSON_0000000000,Matthew Chapman,02/01/22 14:08,Travel reason authority practice accept medical.,neutral,0.04,0.84,0.12
PERSON_0000000002,Nicholas Ochoa,hello world,3.129678824,INTERACTION_0000000001,PERSON_0000000001,Jennifer Martin,02/01/22 14:29,Shoulder research even future success off degree use yes everyone.,neutral,0.22,0.75,0.03
PERSON_0000000003,Bryce Finley,hello world,43.30074985,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 14:26,Report pattern herself doctor street stay member probably law.,neutral,0.02,0.92,0.07
PERSON_0000000004,Justin Barr,hello world,54.40413683,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 14:58,Purpose notice present natural table nor.,neutral,0.02,0.68,0.3
PERSON_0000000000,Matthew Chapman,hello world,3.627030565,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,02/01/22 15:49,Once bill total community task without management PM.,negative,0.06,0.17,0.77
PERSON_0000000001,Jennifer Martin,hello world,60.01873604,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 15:41,Again magazine more design better power hand life military arrive deep exactly rock.,positive,0.76,0.21,0.02
PERSON_0000000002,Nicholas Ochoa,hello world,30.69803424,INTERACTION_0000000003,PERSON_0000000003,Bryce Finley,02/01/22 15:00,Southern you TV matter resource than standard interest.,positive,0.51,0.32,0.17
PERSON_0000000003,Bryce Finley,hello world,135.7659835,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,02/01/22 15:23,Ready benefit pass subject positive approach instead left picture field smile might.,positive,0.9,0.07,0.04
PERSON_0000000004,Justin Barr,hello world,89.44674962,INTERACTION_0000000002,PERSON_0000000004,Justin Barr,02/01/22 15:05,Hear way agent also team type example deal.,neutral,0.04,0.93,0.04
PERSON_0000000000,Matthew Chapman,hello world,46.31304181,INTERACTION_0000000003,PERSON_0000000002,Nicholas Ochoa,02/01/22 16:44,Past only manager four cost nature nation arrive religious sound operation billion.,neutral,0.04,0.49,0.48
PERSON_0000000001,Jennifer Martin,hello world,250.4801301,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,02/01/22 16:04,Congress company me information west now visit.,neutral,0.02,0.96,0.01
PERSON_0000000002,Nicholas Ochoa,hello world,9.808718297,INTERACTION_0000000003,PERSON_0000000003,Bryce Finley,02/01/22 16:15,More cell yeah bring during drug.,neutral,0.02,0.97,0.01
PERSON_0000000003,Bryce Finley,hello world,86.08791922,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 16:17,Eight upon something rather fire represent out today anyone manager.,negative,0.07,0.22,0.71
PERSON_0000000004,Justin Barr,hello world,5.122120738,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 16:16,Shake data right today avoid water everyone clear dream sing.,positive,0.54,0.38,0.08
PERSON_0000000000,Matthew Chapman,hello world,23.38629798,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,02/01/22 17:42,Too player social apply heart however moment of fish rock security.,negative,0.3,0.07,0.64
PERSON_0000000001,Jennifer Martin,hello world,26.82404607,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,02/01/22 17:41,Happy some them develop these pull imagine experience tonight federal important.,positive,0.99,0,0
PERSON_0000000002,Nicholas Ochoa,hello world,88.0355871,INTERACTION_0000000003,PERSON_0000000003,Bryce Finley,02/01/22 17:49,Move history heart study pretty gas other where wall ability yourself.,positive,0.88,0.11,0.01
PERSON_0000000003,Bryce Finley,hello world,52.26134236,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 17:27,Feel including power summer else language.,positive,0.63,0.35,0.02
PERSON_0000000004,Justin Barr,hello world,82.03156642,INTERACTION_0000000002,PERSON_0000000004,Justin Barr,02/01/22 17:26,Hold fine street author hour admit represent drug one significant success TV quality.,positive,0.99,0.01,0
PERSON_0000000000,Matthew Chapman,hello world,5.379837784,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 18:09,With painting write none last usually discussion.,negative,0.03,0.47,0.5
PERSON_0000000001,Jennifer Martin,hello world,21.09511136,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 18:52,Cultural win method factor whatever like music his Mr wait loss win administration.,negative,0.08,0.26,0.66
PERSON_0000000002,Nicholas Ochoa,hello world,43.55984126,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 18:03,Test remember week people television develop hope drive similar buy market test.,neutral,0.24,0.72,0.04
PERSON_0000000003,Bryce Finley,hello world,163.5305531,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,02/01/22 18:41,Around party real can race accept anything.,neutral,0.11,0.83,0.05
PERSON_0000000004,Justin Barr,hello world,8.61029921,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,02/01/22 18:49,Such ahead ready idea size all thought stock now develop respond people.,positive,0.96,0.04,0.01
PERSON_0000000000,Matthew Chapman,hello world,271.5331059,INTERACTION_0000000000,PERSON_0000000000,Matthew Chapman,02/01/22 19:10,Strong practice their natural as work whose.,positive,0.98,0.01,0.01
PERSON_0000000001,Jennifer Martin,hello world,72.87091952,INTERACTION_0000000000,PERSON_0000000003,Bryce Finley,02/01/22 19:03,Collection none of everything nature evening.,negative,0.02,0.06,0.92
PERSON_0000000002,Nicholas Ochoa,hello world,60.7113247,INTERACTION_0000000001,PERSON_0000000001,Jennifer Martin,02/01/22 19:16,Exist later week street treatment capital process piece move particular.,neutral,0.03,0.92,0.05
PERSON_0000000003,Bryce Finley,hello world,31.71593011,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 19:31,Both relate knowledge age man paper beat yes fund relationship.,neutral,0.07,0.85,0.09
PERSON_0000000004,Justin Barr,hello world,124.3220661,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 19:45,Least action purpose upon ten form dark fund usually power or number system.,neutral,0.01,0.7,0.29
PERSON_0000000000,Matthew Chapman,hello world,38.96051394,INTERACTION_0000000003,PERSON_0000000000,Matthew Chapman,02/01/22 20:58,Order though although film left fall report approach.,negative,0.04,0.24,0.73
PERSON_0000000001,Jennifer Martin,hello world,0.696201966,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 20:43,Certain put thought occur different security TV support interesting her happy understand.,positive,0.98,0.01,0.01
PERSON_0000000002,Nicholas Ochoa,hello world,74.22860074,INTERACTION_0000000001,PERSON_0000000001,Jennifer Martin,02/01/22 20:13,Build participant face discover sure admit rock tough down a world detail step.,neutral,0.21,0.54,0.25
PERSON_0000000003,Bryce Finley,hello world,108.9271745,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 20:04,Heart each themselves very happy recent four.,positive,0.99,0,0
PERSON_0000000004,Justin Barr,hello world,47.17565523,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 20:16,Least way term debate since door citizen majority.,negative,0.01,0.08,0.91
PERSON_0000000000,Matthew Chapman,hello world,7.907322338,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,02/01/22 21:12,Fund because factor building owner us appear manage list fear real.,negative,0.01,0.02,0.97
PERSON_0000000001,Jennifer Martin,hello world,14.38318659,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 21:08,Star him cultural toward customer live watch.,neutral,0.12,0.87,0.02
PERSON_0000000002,Nicholas Ochoa,hello world,3.32492656,INTERACTION_0000000003,PERSON_0000000003,Bryce Finley,02/01/22 21:03,Poor quality note herself support forget safe address buy compare case class can.,negative,0.01,0,0.99
PERSON_0000000003,Bryce Finley,hello world,63.58843466,INTERACTION_0000000000,PERSON_0000000004,Justin Barr,02/01/22 21:39,Data or security rock go around report.,neutral,0.01,0.82,0.17
PERSON_0000000004,Justin Barr,hello world,68.10532343,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 21:42,Term important left inside page kitchen since according glass.,positive,0.78,0.12,0.1
PERSON_0000000000,Matthew Chapman,hello world,25.03925344,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,02/01/22 22:00,Name claim through stay police young century.,neutral,0.15,0.77,0.08
PERSON_0000000001,Jennifer Martin,hello world,33.48642801,INTERACTION_0000000000,PERSON_0000000000,Matthew Chapman,02/01/22 22:56,Senior heart see ball sound early.,positive,0.49,0.27,0.24
PERSON_0000000002,Nicholas Ochoa,hello world,208.9831486,INTERACTION_0000000001,PERSON_0000000001,Jennifer Martin,02/01/22 22:03,Clear current perhaps network turn or list even scene.,neutral,0.03,0.91,0.06
PERSON_0000000003,Bryce Finley,hello world,16.1467487,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 22:47,Material miss dream election strong suggest create site eight cover during shake.,negative,0,0.01,0.98
PERSON_0000000004,Justin Barr,hello world,9.365666008,INTERACTION_0000000002,PERSON_0000000004,Justin Barr,02/01/22 22:52,Room performance state green air grow position play building many third brother.,neutral,0.12,0.87,0.02
PERSON_0000000000,Matthew Chapman,hello world,145.8597187,INTERACTION_0000000001,PERSON_0000000000,Matthew Chapman,02/01/22 23:34,News politics card admit practice character impact.,negative,0.06,0.37,0.57
PERSON_0000000001,Jennifer Martin,hello world,263.8597176,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 23:47,Pressure quickly decade less media central act notice box they.,neutral,0.03,0.74,0.23
PERSON_0000000002,Nicholas Ochoa,hello world,59.25712746,INTERACTION_0000000003,PERSON_0000000001,Jennifer Martin,02/01/22 23:52,Pull media soon else score hand relationship there site question station.,neutral,0.03,0.84,0.13
PERSON_0000000003,Bryce Finley,hello world,233.0141651,INTERACTION_0000000001,PERSON_0000000004,Justin Barr,02/01/22 23:50,Church off summer she feel however red tax same.,neutral,0.08,0.69,0.23
PERSON_0000000004,Justin Barr,hello world,45.37486127,INTERACTION_0000000001,PERSON_0000000003,Bryce Finley,02/01/22 23:23,Long military write case consumer wall public enter major or boy top despite.,negative,0.02,0.25,0.72
